PITX3	FOXA2	LMX1B	ASCL1	SLC6A3	NR4A2	LMX1A	EN1	SHH	OTX2	SLC18A2	NEUROG2	TH	Condition	Treatment	group
0.1	22.45	3.99	23.29	1.13	2.69	2.41	6.37	53.49	4.69	0.86	6.66	25.45	ctrl	noChir	ctrl_noChir
0.19	17.59	2.94	28.99	1.96	2.53	2.69	4.13	37.8	7.42	0.83	10.09	36.57	ctrl	noChir	ctrl_noChir
0.53	15.06	1.91	30.5	0.88	3.35	6.32	4.29	21.87	11.13	0.8	15.76	23.02	ctrl	noChir	ctrl_noChir
0.18	12.69	1.81	36.53	1.51	2.22	3.22	4.57	29.77	9.48	0.77	11.23	33.6	ctrl	noChir	ctrl_noChir
0.06	9.87	1.64	34.66	0.87	2.28	3.96	3.53	11.3	8.02	0.8	16.74	28.79	ctrl	Chir	ctrl_Chir
0.16	10.05	1.06	38.43	1.24	1.62	7.28	7.7	10.99	10.01	0.58	16.1	20.17	ctrl	Chir	ctrl_Chir
0.38	10.88	1.75	36.65	1.55	1.85	4.39	6.52	17.09	7.74	0.65	14.13	29.87	ctrl	Chir	ctrl_Chir
0.19	10.9	1.79	37.76	1.3	2.4	7.73	5.57	23.73	11.79	0.6	13.17	26.78	ctrl	Chir	ctrl_Chir
0.46	28.41	3.07	25.13	0.69	5.87	18.52	3.07	35.19	37.84	0.82	9.38	27.23	KO2	noChir	KO2_noChir
0.78	53.9	3.74	46.94	0.57	22.18	73.86	4.17	33.65	74.08	0.59	17.64	26.54	KO2	noChir	KO2_noChir
0.25	44.27	4.72	16.76	0.58	4.95	10.07	2.3	54.37	32.38	0.71	9.96	19.4	KO2	noChir	KO2_noChir
0.2	61.39	6.94	16.07	0.33	6.83	16.71	3.47	75.72	42.04	0.7	6.32	17.36	KO2	noChir	KO2_noChir
0.15	58.8	4.73	8.67	0.48	2.9	7.68	2.86	73.11	15.38	0.85	5.73	12.8	KO2	Chir	KO2_Chir
0.49	55.85	4.09	14.61	0.91	7.4	13.61	1.71	47.12	34.28	0.88	8.53	21.1	KO2	Chir	KO2_Chir
0.35	40.43	3.2	13.25	0.54	2.11	2.91	2.03	54.75	18.11	0.99	8.62	19.83	KO2	Chir	KO2_Chir
0.24	41.46	3.04	13.88	0.89	5.05	9.11	1.71	36.23	20.87	1.17	6.7	21.55	KO2	Chir	KO2_Chir
0.2	62.51	6.26	7.42	0.47	3.27	2.91	2.92	95.17	6.84	0.74	4.33	11.44	KO3	noChir	KO3_noChir
0.04	44.99	5.37	10.12	0.35	2.12	1.67	1.89	52	11.9	0.97	5.65	18.71	KO3	noChir	KO3_noChir
0.37	41.63	5.84	18.9	0.77	4.75	11.21	2.01	53.55	40.07	0.67	8.81	21.22	KO3	noChir	KO3_noChir
0.12	44.2	5.93	11.71	0.41	2.18	1.72	2.71	57.6	10.78	0.9	7.66	18.48	KO3	noChir	KO3_noChir
0	41.33	4.02	19.43	0.36	6.11	6.5	1.31	58.31	10.34	1.22	11.38	22.18	KO3	Chir	KO3_Chir
0.09	53.67	6.01	17.45	0.44	4.8	10.05	3.71	67.57	20.06	0.97	10.91	13.37	KO3	Chir	KO3_Chir
0.41	68.36	4.82	7.86	0.34	5.41	6.44	1.71	86.17	5.66	0.81	5.03	12.07	KO3	Chir	KO3_Chir
0.09	56.38	4.09	12.22	0.45	3.43	4.46	1.95	73.03	9.21	0.74	8.38	16.29	KO3	Chir	KO3_Chir
