WNT8B	WNT5A	LMX1B	LEF1	WNT3A	LMX1A	EN1	MSX1	AXIN2	TCF4	Condition	Treatment	group
0.83	11.14	3.99	3.78	0.06	2.41	6.37	1.08	6.58	12.47	ctrl	noChir	ctrl_noChir
1.07	9.89	2.94	2.98	0.06	2.69	4.13	0.72	6.32	12.72	ctrl	noChir	ctrl_noChir
1.29	8.3	1.91	3.06	0.06	6.32	4.29	2.03	7.87	13.01	ctrl	noChir	ctrl_noChir
0.31	8.29	1.81	3.58	0.1	3.22	4.57	0.95	5.96	15.08	ctrl	noChir	ctrl_noChir
0.64	7.17	1.64	10.98	0.32	3.96	3.53	3.15	8.94	19.07	ctrl	Chir	ctrl_Chir
1.86	7.8	1.06	5.21	0.05	7.28	7.7	1.04	8.06	14.67	ctrl	Chir	ctrl_Chir
1.12	8.13	1.75	2.95	0.04	4.39	6.52	1.54	7.49	13.98	ctrl	Chir	ctrl_Chir
2.38	8.63	1.79	8.29	0	7.73	5.57	1.6	7.9	15.24	ctrl	Chir	ctrl_Chir
0.61	14.92	3.07	2.63	0.04	18.52	3.07	1.46	8.48	14.49	KO2	noChir	KO2_noChir
2.09	25.85	3.74	5.59	0.13	73.86	4.17	2.47	8.95	12.52	KO2	noChir	KO2_noChir
0.97	14.46	4.72	4.06	0.04	10.07	2.3	1.42	8.46	11.56	KO2	noChir	KO2_noChir
0.96	18.13	6.94	3.31	0.04	16.71	3.47	1.68	9.86	13.12	KO2	noChir	KO2_noChir
0.3	14.42	4.73	2.14	0.02	7.68	2.86	1.27	10.52	7.58	KO2	Chir	KO2_Chir
0.56	14.38	4.09	3.98	0	13.61	1.71	1.26	10.39	7.69	KO2	Chir	KO2_Chir
0.41	10.63	3.2	6.67	0.08	2.91	2.03	1.26	9.55	9.79	KO2	Chir	KO2_Chir
0.78	9.89	3.04	4.63	0.04	9.11	1.71	1.61	9.85	8.55	KO2	Chir	KO2_Chir
0.63	10.4	6.26	0.95	0.02	2.91	2.92	0.6	5.81	7.77	KO3	noChir	KO3_noChir
0.35	9.67	5.37	0.72	0.05	1.67	1.89	0.88	7.48	9.42	KO3	noChir	KO3_noChir
2.3	11.57	5.84	5.24	0.06	11.21	2.01	1.2	8.15	11.58	KO3	noChir	KO3_noChir
1.1	9.21	5.93	3.13	0.04	1.72	2.71	0.52	6.54	9.04	KO3	noChir	KO3_noChir
1.17	10.04	4.02	8.16	0	6.5	1.31	0.99	9.44	10.99	KO3	Chir	KO3_Chir
0.4	12.75	6.01	9.03	0	10.05	3.71	2.17	12.79	9.5	KO3	Chir	KO3_Chir
0.29	10.49	4.82	3.93	0	6.44	1.71	0.87	11.24	7.37	KO3	Chir	KO3_Chir
0.68	9.55	4.09	2.8	0	4.46	1.95	0.37	7.21	9.15	KO3	Chir	KO3_Chir
