SYMBOL	ensembl	TCGA_LIHC_dir	TCGA_LIHC_log2FC	COSMIC_CGC_HCC	CGC_HCC_score	DisGeNET_HCC	DisGeNET_enrich_padj	n_curated_sources	curated_HCC_hit	OT_HCC_overall	OT_clinvar	OT_intogen	OT_europepmc
NDRG1	ENSG00000104419	Up	1.192	yes	0.5319	yes	0.9816	2	yes	0.3521	0	0	0.9453
PBX1	ENSG00000185630	ns	-0.316	yes	0.5319	no		1	yes	0.3317	0	0	0.1084
ELK4	ENSG00000158711	Up	0.34	yes	0.4559	no		1	yes	0.2914	0	0	0.4668
PLEC	ENSG00000178209	Up	0.71	yes	0.304	no		1	yes	0.2116	0	0	0.8809
N4BP2	ENSG00000078177	Down	-0.676	yes	0.304	no		1	yes	0.2101	0	0.1667	0
CHEK1	ENSG00000149554	Up	2.22	no	0	yes	0.9816	1	yes	0.1216	0	0	0.9582
USP22	ENSG00000124422	Up	0.591	no	0	yes	0.9816	1	yes	0.1175	0	0	0.9626
HDAC11	ENSG00000163517	Up	1.758	no	0	yes	0.9816	1	yes	0.1133	0	0	0.7935
YWHAZ	ENSG00000164924	Up	0.637	no	0	yes	0.9816	1	yes	0.1109	0	0	0.9123
SDC1	ENSG00000115884	Down	-0.295	no	0	yes	0.9816	1	yes	0.1069	0	0	0.8792
MTSS1	ENSG00000170873	ns	0.07	no	0	yes	0.9816	1	yes	0.1055	0	0	0.8679
LAMC1	ENSG00000135862	Up	1.391	no	0	yes	0.9816	1	yes	0.1046	0	0	0.8562
TP53INP1	ENSG00000164938	ns	0.023	no	0	yes	0.9816	1	yes	0.0996	0	0	0.8191
NEK6	ENSG00000119408	Down	-0.402	no	0	yes	0.9816	1	yes	0.0952	0	0	0.7832
FZD7	ENSG00000155760	Up	0.583	no	0	yes	0.9816	1	yes	0.0924	0	0	0.7597
TFAM	ENSG00000108064	Down	-0.382	no	0	yes	0.9816	1	yes	0.0908	0	0	0.747
DCAF13	ENSG00000164934	Up	1.054	no	0	yes	0.9816	1	yes	0.0872	0	0	0.7173
CES1	ENSG00000198848	ns	-0.321	no	0	yes	0.9816	1	yes	0.0867	0	0	0.7133
GALNT2	ENSG00000143641	Down	-0.342	no	0	yes	0.9816	1	yes	0.0816	0	0	0.6713
MAP3K2	ENSG00000169967	Down	-0.512	no	0	yes	0.9816	1	yes	0.0803	0	0	0.6604
CD1D	ENSG00000158473	Down	-1.593	no	0	yes	0.9816	1	yes	0.0802	0	0	0.6518
TPD52	ENSG00000076554	Up	0.452	no	0	yes	0.9816	1	yes	0.0776	0	0	0.6386
PEX5	ENSG00000139197	ns	-0.039	no	0	yes	0.9816	1	yes	0.0752	0	0	0.6183
ING1	ENSG00000153487	ns	-0.036	no	0	yes	0.9816	1	yes	0.0736	0	0	0.6054
KLF10	ENSG00000155090	Down	-1.44	no	0	yes	0.9816	1	yes	0.0648	0	0	0.5331
INSIG1	ENSG00000186480	ns	-0.397	no	0	yes	0.9816	1	yes	0.06	0	0	0.4937
HES1	ENSG00000114315	Down	-0.976	no	0	yes	0.9816	1	yes	0.059	0	0	0.4855
MOK	ENSG00000080823	Up	0.41	no	0	yes	0.9816	1	yes	0.0425	0	0	0.3496
SPG7	ENSG00000197912	Down	-0.284	no	0	yes	0.9816	1	yes	0.0373	0	0	0.3067
XPR1	ENSG00000143324	Up	0.643	no	0	yes	0.9816	1	yes	0.0342	0	0	0.2792
FSD1L	ENSG00000106701	Up	1.165	no	0	yes	0.9816	1	yes	0.0292	0	0	0.2401
HNF4G	ENSG00000164749	ns	-0.197	no	0	yes	0.9816	1	yes	0.0287	0	0	0.2358
MTR	ENSG00000116984	Up	0.76	no	0	yes	0.9816	1	yes	0.0251	0	0	0.2064
SP3	ENSG00000172845	ns	-0.044	no	0	yes	0.9816	1	yes	0.0247	0	0	0.2028
PADI1	ENSG00000142623	Up	1.949	no	0	yes	0.9816	1	yes	0.0174	0	0	0.1305
LAMTOR2	ENSG00000116586	Up	0.632	no	0	yes	0.9816	1	yes	0	0	0	0
SH3BP4	ENSG00000130147	ns	-0.066	no	0	yes	0.9816	1	yes	0	0	0	0
PSMC5	ENSG00000087191	Up	0.384	no	0	no		0	no	0.1163	0	0	0.5836
GSDME	ENSG00000105928	Up	0.701	no	0	no		0	no	0.1112	0	0	0.9122
GPER1	ENSG00000164850	ns	-0.328	no	0	no		0	no	0.1002	0	0	0.8241
PUS1	ENSG00000177192	Up	0.683	no	0	no		0	no	0.0996	0	0	0.8194
TRIM26	ENSG00000234127	ns	0.018	no	0	no		0	no	0.0987	0	0	0.8116
KLF13	ENSG00000169926	Up	1.065	no	0	no		0	no	0.0981	0	0	0.8019
FANCI	ENSG00000140525	Up	2.199	no	0	no		0	no	0.0972	0	0	0.7932
FBXO32	ENSG00000156804	Up	1.685	no	0	no		0	no	0.0966	0	0	0.7917
HPCAL1	ENSG00000115756	ns	0.073	no	0	no		0	no	0.0961	0	0	0.79
NID1	ENSG00000116962	ns	-0.215	no	0	no		0	no	0.0947	0	0	0.7789
NDUFA4	ENSG00000189043	Up	0.317	no	0	no		0	no	0.0945	0	0	0.0697
PAXIP1	ENSG00000157212	Up	0.499	no	0	no		0	no	0.0932	0	0	0.7665
PSD4	ENSG00000125637	Down	-0.619	no	0	no		0	no	0.0931	0	0	0.7659
TBC1D31	ENSG00000156787	Up	1.399	no	0	no		0	no	0.0928	0	0	0.7633
NDUFB4	ENSG00000065518	ns	0.092	no	0	no		0	no	0.0924	0	0	0
ABCC6	ENSG00000091262	Down	-0.657	no	0	no		0	no	0.0924	0	0	0.7568
SF3A3	ENSG00000183431	Up	0.223	no	0	no		0	no	0.0921	0	0	0.7574
CPT1A	ENSG00000110090	Down	-0.484	no	0	no		0	no	0.0901	0	0	0.741
HBP1	ENSG00000105856	Down	-0.393	no	0	no		0	no	0.0862	0	0	0.7093
