ENSEMBL_base	SYMBOL	logFC	logCPM	F	PValue	FDR	direction
ENSG00000150628	SPATA4						not_tested
ENSG00000203729	LINC00272						not_tested
ENSG00000206652	RNU1-1						not_tested
ENSG00000213246	SUPT4H1						not_tested
ENSG00000218305	CDC14C						not_tested
ENSG00000225209	LOC102723427						not_tested
ENSG00000226567	LINC00606						not_tested
ENSG00000230268	SSU72L6						not_tested
ENSG00000230725	LOC284798						not_tested
ENSG00000236720	LINC01741						not_tested
ENSG00000237292	LINC01732						not_tested
ENSG00000237463	LRRC52-AS1						not_tested
ENSG00000253603	CERNA3						not_tested
ENSG00000259473	LINC02205						not_tested
ENSG00000263894	MIR3925						not_tested
ENSG00000264032	MIR4491						not_tested
ENSG00000265595	MIR4756						not_tested
ENSG00000272273	IER3-AS1						not_tested
ENSG00000276524	LINC03065						not_tested
ENSG00000278705	H4C2						not_tested
ENSG00000283881	MIR3916						not_tested
ENSG00000289460	LOC124909362						not_tested
ENSG00000289623	LOC101929614						not_tested
ENSG00000290007	LOC105375587						not_tested
ENSG00000290355	DDX11L10						not_tested
ENSG00000290770	MFSD14CP						not_tested
ENSG00000290837	LRRC37A5P						not_tested
ENSG00000291149	LOC154761						not_tested
ENSG00000171246	NPTX1	3.6882150610802	-0.995310784234773	40.7738245833617	3.85743103807831e-10	1.87387989318302e-09	Up
ENSG00000279141	LINC01451	3.20109932062909	1.76852363905451	66.0101132586015	4.72124499256321e-15	5.05413051673312e-14	Up
ENSG00000147614	ATP6V0D2	2.82196151039825	-0.478560223503949	41.1621725866512	3.32402084127775e-10	1.63217670607638e-09	Up
ENSG00000179930	ZNF648	2.24367155157151	0.475241377193467	32.8018419412245	1.90175462420675e-08	6.95070394930486e-08	Up
ENSG00000286315	LOC124901628	2.22889221524087	-1.99597444915481	62.6248268290523	1.21454579864562e-14	1.22092967453073e-13	Up
ENSG00000149554	CHEK1	2.22023762648793	2.55958283035136	127.279451388689	5.16936260688801e-26	2.28985100660195e-24	Up
ENSG00000140525	FANCI	2.19910042795427	3.12765854793083	140.063313614979	3.81451561182561e-28	2.19228688912978e-26	Up
ENSG00000142623	PADI1	1.94885910554074	2.10841366133069	10.276073013606	0.00144899621849501	0.00253304439179108	Up
ENSG00000188505	NCCRP1	1.86656135666557	-1.18465084494118	18.2868431229689	2.27929902567909e-05	5.21509666486683e-05	Up
ENSG00000265055	LOC124904048	1.77829486300957	-0.968752825399153	59.5886766452637	6.80748223727138e-14	6.06148232543268e-13	Up
ENSG00000163517	HDAC11	1.75818400391666	4.42538887932416	142.43331476363	1.53282981377463e-28	9.30284632845247e-27	Up
ENSG00000204625	HCG9	1.72412459896608	-2.73974424651812	29.5423417972191	7.37846774231741e-08	2.43937459830624e-07	Up
ENSG00000156804	FBXO32	1.68497164627773	3.59421289498416	51.4738713985957	3.22383886941673e-12	2.17783760252465e-11	Up
ENSG00000250571	GLI4	1.64723031343297	3.1341381682004	112.675078652903	1.61126232207179e-23	5.29923687688323e-22	Up
