Ensembl_base	logFC	logCPM	F	PValue	FDR
ENSG00000164100	-4.35685884669528	-1.68043256198604	581.228551972156	3.6878991471563e-98	8.39328966901303e-94
ENSG00000160323	-2.82251707221676	3.41179502835527	596.482836290152	4.23483693081913e-83	4.81903268542563e-79
ENSG00000136011	-4.83272353308897	2.05556100067002	585.686030090243	5.28974114430311e-82	4.01297395677315e-78
ENSG00000274736	-2.96198882250872	-0.875770474742529	525.606537704826	1.17282898439865e-79	6.67310371398224e-76
ENSG00000165682	-5.29192314999981	0.840680233410798	526.075213177869	4.47782186199218e-79	2.0382149551416e-75
ENSG00000164619	-4.51349499126286	1.06571773296826	526.513624729734	5.42046053404346e-77	2.05607102157158e-73
ENSG00000138315	-3.25291134623043	4.48461564707982	497.56840268227	1.11211728712357e-73	3.61581104823504e-70
ENSG00000100362	-3.63493407946806	-1.51092746219658	376.661697520805	1.02136962933688e-66	2.90566892425977e-63
ENSG00000126759	-2.80610045492335	-0.940772811123285	407.900483698365	1.78132238700265e-66	4.50456846731037e-63
ENSG00000251049	-4.43940193451275	-3.02481698806425	354.297636399111	6.56318059894539e-66	1.49371427251398e-62
ENSG00000104938	-5.65106149109053	2.19406507843627	419.680449693246	1.18632082982092e-65	2.45449779689948e-62
ENSG00000185652	-3.50437599997141	0.355888700020358	402.743935574868	5.69738650093376e-64	1.08055682812293e-60
ENSG00000143369	-3.06712168422771	3.89387855017557	400.97000034084	2.08949910608768e-63	3.65807001195765e-60
ENSG00000130812	-3.02471644013253	2.04168392309782	400.861074483188	2.7229192149143e-63	4.42649417230247e-60
ENSG00000253813	-3.17993303919852	-2.74751569539996	322.775541980934	1.13933016057219e-62	1.72866767496417e-59
ENSG00000144655	-2.23389306657039	5.34560346423729	383.201512288467	2.07235166903629e-61	2.9477907272248e-58
ENSG00000206384	-3.33777661812615	-1.09604882425232	353.190294295601	4.79961979376531e-61	6.42556158154734e-58
ENSG00000163217	-4.73681728230674	0.82725566060247	352.040736347278	1.81070667421927e-58	2.28943739991979e-55
ENSG00000160339	-4.90187203363881	3.32558327839732	351.815898108201	1.24886054222312e-57	1.49593774107663e-54
ENSG00000181072	-3.75416079538497	-1.58155094348909	304.271292150892	8.32679739859733e-57	9.47547909973383e-54
ENSG00000159200	-2.38989487870084	6.1487510539228	337.573863508356	5.14543028491548e-56	5.57642132639959e-53
ENSG00000114812	-3.48330293920979	2.56961335301057	329.805515338982	5.53815106351588e-55	5.72921727520717e-52
