"cluster_final","malignant_status","n","pct"
"0","normal_hepatocyte",11125,29.9881395223462
"0","malignant_hepatocyte",4457,12.0141247506604
"0","ambiguous",21516,57.9977357269934
"1","normal_hepatocyte",1446,4.18390671566216
"1","malignant_hepatocyte",17925,51.86481872631
"1","ambiguous",15190,43.9512745580278
"2","non_hepatocyte",31153,100
"3","non_hepatocyte",29505,100
"4","non_hepatocyte",29191,100
"5","normal_hepatocyte",7006,27.1550387596899
"5","malignant_hepatocyte",7548,29.2558139534884
"5","ambiguous",11246,43.5891472868217
"6","non_hepatocyte",18587,100
"7","normal_hepatocyte",7601,55.1636548370709
"7","malignant_hepatocyte",404,2.9319979679222
"7","ambiguous",5774,41.9043471950069
"8","non_hepatocyte",13150,100
"9","non_hepatocyte",10287,100
"10","normal_hepatocyte",2270,28.2303196119886
"10","malignant_hepatocyte",345,4.29051113045641
"10","ambiguous",5426,67.479169257555
"11","non_hepatocyte",4015,100
"12","non_hepatocyte",3166,100
"13","normal_hepatocyte",1257,45.1995685005394
"13","malignant_hepatocyte",67,2.40920532182668
"13","ambiguous",1457,52.3912261776339
"14","non_hepatocyte",1933,100
"15","normal_hepatocyte",74,6.95488721804511
"15","malignant_hepatocyte",36,3.38345864661654
"15","ambiguous",954,89.6616541353384
"16","normal_hepatocyte",2,66.6666666666667
"16","ambiguous",1,33.3333333333333
"17","normal_hepatocyte",1,50
"17","ambiguous",1,50
