cluster,fine_label,broad_label,n_cells,key_evidence
0,Hepatocyte (EGFR+),Hepatocyte,21431,"PLIN5/GPT2/HAL/CPS1/CYP3A5 metabolic program; EGFR log2FC 1.52; Hepatocyte module 0.83"
1,Hepatocyte (EGFR+),Hepatocyte,23278,"CTNNA2/SLIT2/MACROD2; EGFR log2FC 1.72 (highest); Hepatocyte module 0.56"
2,T cell (CD4-biased),T cell,16925,"THEMIS/ITK/SKAP1/CD6 TCR signaling; IL7R high; T_CD4 module 0.24 highest"
3,Hepatocyte (acute-phase),Hepatocyte,11428,"SAA1/HP/FGG/FGA/CFB acute-phase response; ALB=105; Hepatocyte module 1.24"
4,TAM (CD163+ M2-like),Macrophage,16383,"CD163=5.33; C1QA/C1QB cascade; MSR1/LGMN; Macrophage module 0.67"
5,Endothelial (vascular),Endothelial,15885,"VWF=13.31; PECAM1=12.82; ESM1/NOX4 angiogenic; CLEC4G/STAB2 absent (not LSEC); Endothelial module 0.81"
6,NK/CD8 T cell,T/NK cell,12786,"NKG7/CCL5/CD247/TOX/RUNX3; NK module 0.23 + T_pan 0.22"
7,Cycling cells,Cycling,10403,"MKI67=2.17; AURKB/BUB1B/ASPM mitotic; Cycling module 0.58 (Hepatocyte 0.66 background)"
8,Endothelial (venous-like),Endothelial,11143,"AQP1/VEGFC/COL8A1/TEK; VWF=9.76; Endothelial module 0.53; no LSEC markers"
9,Macrophage (mixed),Macrophage,9133,"COLEC12/F13A1/CD14 monocytic + MRC1/MSR1/CSF1R resident; Macrophage module 0.39"
10,Hepatocyte (stressed),Hepatocyte,1002,"Ribosomal/stress genes; APOA2=108; lost 87% of cells at mt filter; lowest confidence"
11,Fibroblast/Hepatic stellate,Fibroblast/HSC,5461,"RGS5=13.07; ACTA2=7.59; COL1A1/COL3A1/COL12A1; NOTCH3; Fibroblast_HSC module 1.13"
12,Classical monocyte,Monocyte,4075,"FCN1/VCAN/CD14/S100A9; Monocyte module 0.31"
13,B/Plasma cell,B/Plasma cell,3816,"MS4A1/BANK1/BLK + IGHG1/IGKC/MZB1/JCHAIN; Plasma module 0.38, B_cell 0.25"
14,Hepatocyte (proliferating),Hepatocyte,1469,"AFP+/IGF2BP1+ oncofetal; EXO1/DIAPH3; Hepatocyte 0.93 + Cycling 0.31"
15,Hepatocyte (specialized),Hepatocyte,497,"SLCO1B3/SLCO1B7/MOGAT3/SHBG; ALB=184.7 highest; Hepatocyte module 1.95"
